"","...1","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year","bill_surface_area_mm2","body_mass_kg","flipper_length_Z","flipper_length_group"
"224",232,"Gentoo","Biscoe",45.2,16.4,223,5950,"male","2008",741.28,5.95,1.57056215374793,"Big Penguinz"
"225",233,"Gentoo","Biscoe",49.1,14.5,212,4625,"female","2009",711.95,4.625,0.788296190236778,"Big Penguinz"
"226",234,"Gentoo","Biscoe",52.5,15.6,221,5450,"male","2009",819,5.45,1.42833197856408,"Big Penguinz"
"227",235,"Gentoo","Biscoe",47.4,14.6,212,4725,"female","2009",692.04,4.725,0.788296190236778,"Big Penguinz"
"228",236,"Gentoo","Biscoe",50,15.9,224,5350,"male","2009",795,5.35,1.64167724133985,"Big Penguinz"
"229",237,"Gentoo","Biscoe",44.9,13.8,212,4750,"female","2009",619.62,4.75,0.788296190236778,"Big Penguinz"
"230",238,"Gentoo","Biscoe",50.8,17.3,228,5600,"male","2009",878.84,5.6,1.92613759170754,"Big Penguinz"
"231",239,"Gentoo","Biscoe",43.4,14.4,218,4600,"female","2009",624.96,4.6,1.21498671578831,"Big Penguinz"
"232",240,"Gentoo","Biscoe",51.3,14.2,218,5300,"male","2009",728.46,5.3,1.21498671578831,"Big Penguinz"
"233",241,"Gentoo","Biscoe",47.5,14,212,4875,"female","2009",665,4.875,0.788296190236778,"Big Penguinz"
"234",242,"Gentoo","Biscoe",52.1,17,230,5550,"male","2009",885.7,5.55,2.06836776689138,"Big Penguinz"
"235",243,"Gentoo","Biscoe",47.5,15,218,4950,"female","2009",712.5,4.95,1.21498671578831,"Big Penguinz"
"236",244,"Gentoo","Biscoe",52.2,17.1,228,5400,"male","2009",892.62,5.4,1.92613759170754,"Big Penguinz"
"237",245,"Gentoo","Biscoe",45.5,14.5,212,4750,"female","2009",659.75,4.75,0.788296190236778,"Big Penguinz"
"238",246,"Gentoo","Biscoe",49.5,16.1,224,5650,"male","2009",796.95,5.65,1.64167724133985,"Big Penguinz"
"239",247,"Gentoo","Biscoe",44.5,14.7,214,4850,"female","2009",654.15,4.85,0.930526365420623,"Big Penguinz"
"240",248,"Gentoo","Biscoe",50.8,15.7,226,5200,"male","2009",797.56,5.2,1.78390741652369,"Big Penguinz"
"241",249,"Gentoo","Biscoe",49.4,15.8,216,4925,"male","2009",780.52,4.925,1.07275654060447,"Big Penguinz"
"242",250,"Gentoo","Biscoe",46.9,14.6,222,4875,"female","2009",684.74,4.875,1.499447066156,"Big Penguinz"
"243",251,"Gentoo","Biscoe",48.4,14.4,203,4625,"female","2009",696.96,4.625,0.148260401909475,"Big Penguinz"
"244",252,"Gentoo","Biscoe",51.1,16.5,225,5250,"male","2009",843.15,5.25,1.71279232893177,"Big Penguinz"
"245",253,"Gentoo","Biscoe",48.5,15,219,4850,"female","2009",727.5,4.85,1.28610180338024,"Big Penguinz"
"246",254,"Gentoo","Biscoe",55.9,17,228,5600,"male","2009",950.3,5.6,1.92613759170754,"Big Penguinz"
"247",255,"Gentoo","Biscoe",47.2,15.5,215,4975,"female","2009",731.6,4.975,1.00164145301255,"Big Penguinz"
"248",256,"Gentoo","Biscoe",49.1,15,228,5500,"male","2009",736.5,5.5,1.92613759170754,"Big Penguinz"
"249",258,"Gentoo","Biscoe",46.8,16.1,215,5500,"male","2009",753.48,5.5,1.00164145301255,"Big Penguinz"
"250",259,"Gentoo","Biscoe",41.7,14.7,210,4700,"female","2009",612.99,4.7,0.646066015052933,"Big Penguinz"
"251",260,"Gentoo","Biscoe",53.4,15.8,219,5500,"male","2009",843.72,5.5,1.28610180338024,"Big Penguinz"
"252",261,"Gentoo","Biscoe",43.3,14,208,4575,"female","2009",606.2,4.575,0.503835839869088,"Big Penguinz"
"253",262,"Gentoo","Biscoe",48.1,15.1,209,5500,"male","2009",726.31,5.5,0.57495092746101,"Big Penguinz"
"254",263,"Gentoo","Biscoe",50.5,15.2,216,5000,"female","2009",767.6,5,1.07275654060447,"Big Penguinz"
"255",264,"Gentoo","Biscoe",49.8,15.9,229,5950,"male","2009",791.82,5.95,1.99725267929946,"Big Penguinz"
"256",265,"Gentoo","Biscoe",43.5,15.2,213,4650,"female","2009",661.2,4.65,0.8594112778287,"Big Penguinz"
"257",266,"Gentoo","Biscoe",51.5,16.3,230,5500,"male","2009",839.45,5.5,2.06836776689138,"Big Penguinz"
"258",267,"Gentoo","Biscoe",46.2,14.1,217,4375,"female","2009",651.42,4.375,1.14387162819639,"Big Penguinz"
"259",268,"Gentoo","Biscoe",55.1,16,230,5850,"male","2009",881.6,5.85,2.06836776689138,"Big Penguinz"
"260",270,"Gentoo","Biscoe",48.8,16.2,222,6000,"male","2009",790.56,6,1.499447066156,"Big Penguinz"
"261",271,"Gentoo","Biscoe",47.2,13.7,214,4925,"female","2009",646.64,4.925,0.930526365420623,"Big Penguinz"
"262",273,"Gentoo","Biscoe",46.8,14.3,215,4850,"female","2009",669.24,4.85,1.00164145301255,"Big Penguinz"
"263",274,"Gentoo","Biscoe",50.4,15.7,222,5750,"male","2009",791.28,5.75,1.499447066156,"Big Penguinz"
"264",275,"Gentoo","Biscoe",45.2,14.8,212,5200,"female","2009",668.96,5.2,0.788296190236778,"Big Penguinz"
"265",276,"Gentoo","Biscoe",49.9,16.1,213,5400,"male","2009",803.39,5.4,0.8594112778287,"Big Penguinz"
"266",277,"Chinstrap","Dream",46.5,17.9,192,3500,"female","2007",832.35,3.5,-0.634005561601673,"Small Penguinz"
"267",278,"Chinstrap","Dream",50,19.5,196,3900,"male","2007",975,3.9,-0.349545211233983,"Small Penguinz"
"268",279,"Chinstrap","Dream",51.3,19.2,193,3650,"male","2007",984.96,3.65,-0.56289047400975,"Small Penguinz"
"269",280,"Chinstrap","Dream",45.4,18.7,188,3525,"female","2007",848.98,3.525,-0.918465911969363,"Small Penguinz"
"270",281,"Chinstrap","Dream",52.7,19.8,197,3725,"male","2007",1043.46,3.725,-0.27843012364206,"Small Penguinz"
"271",282,"Chinstrap","Dream",45.2,17.8,198,3950,"female","2007",804.56,3.95,-0.207315036050138,"Small Penguinz"
"272",283,"Chinstrap","Dream",46.1,18.2,178,3250,"female","2007",839.02,3.25,-1.62961678788859,"Small Penguinz"
"273",284,"Chinstrap","Dream",51.3,18.2,197,3750,"male","2007",933.66,3.75,-0.27843012364206,"Small Penguinz"
"274",285,"Chinstrap","Dream",46,18.9,195,4150,"female","2007",869.4,4.15,-0.420660298825905,"Small Penguinz"
"275",286,"Chinstrap","Dream",51.3,19.9,198,3700,"male","2007",1020.87,3.7,-0.207315036050138,"Small Penguinz"
"276",287,"Chinstrap","Dream",46.6,17.8,193,3800,"female","2007",829.48,3.8,-0.56289047400975,"Small Penguinz"
"277",288,"Chinstrap","Dream",51.7,20.3,194,3775,"male","2007",1049.51,3.775,-0.491775386417828,"Small Penguinz"
"278",289,"Chinstrap","Dream",47,17.3,185,3700,"female","2007",813.1,3.7,-1.13181117474513,"Small Penguinz"
"279",290,"Chinstrap","Dream",52,18.1,201,4050,"male","2007",941.2,4.05,0.00603022672563002,"Big Penguinz"
"280",291,"Chinstrap","Dream",45.9,17.1,190,3575,"female","2007",784.89,3.575,-0.776235736785517,"Small Penguinz"
"281",292,"Chinstrap","Dream",50.5,19.6,201,4050,"male","2007",989.8,4.05,0.00603022672563002,"Big Penguinz"
"282",293,"Chinstrap","Dream",50.3,20,197,3300,"male","2007",1006,3.3,-0.27843012364206,"Small Penguinz"
"283",294,"Chinstrap","Dream",58,17.8,181,3700,"female","2007",1032.4,3.7,-1.41627152511282,"Small Penguinz"
"284",295,"Chinstrap","Dream",46.4,18.6,190,3450,"female","2007",863.04,3.45,-0.776235736785517,"Small Penguinz"
"285",296,"Chinstrap","Dream",49.2,18.2,195,4400,"male","2007",895.44,4.4,-0.420660298825905,"Small Penguinz"
"286",297,"Chinstrap","Dream",42.4,17.3,181,3600,"female","2007",733.52,3.6,-1.41627152511282,"Small Penguinz"
"287",298,"Chinstrap","Dream",48.5,17.5,191,3400,"male","2007",848.75,3.4,-0.705120649193595,"Small Penguinz"
"288",299,"Chinstrap","Dream",43.2,16.6,187,2900,"female","2007",717.12,2.9,-0.989580999561285,"Small Penguinz"
"289",300,"Chinstrap","Dream",50.6,19.4,193,3800,"male","2007",981.64,3.8,-0.56289047400975,"Small Penguinz"
"290",301,"Chinstrap","Dream",46.7,17.9,195,3300,"female","2007",835.93,3.3,-0.420660298825905,"Small Penguinz"
"291",302,"Chinstrap","Dream",52,19,197,4150,"male","2007",988,4.15,-0.27843012364206,"Small Penguinz"
"292",303,"Chinstrap","Dream",50.5,18.4,200,3400,"female","2008",929.2,3.4,-0.0650848608662925,"Small Penguinz"
"293",304,"Chinstrap","Dream",49.5,19,200,3800,"male","2008",940.5,3.8,-0.0650848608662925,"Small Penguinz"
"294",305,"Chinstrap","Dream",46.4,17.8,191,3700,"female","2008",825.92,3.7,-0.705120649193595,"Small Penguinz"
"295",306,"Chinstrap","Dream",52.8,20,205,4550,"male","2008",1056,4.55,0.29049057709332,"Big Penguinz"
"296",307,"Chinstrap","Dream",40.9,16.6,187,3200,"female","2008",678.94,3.2,-0.989580999561285,"Small Penguinz"
"297",308,"Chinstrap","Dream",54.2,20.8,201,4300,"male","2008",1127.36,4.3,0.00603022672563002,"Big Penguinz"
"298",309,"Chinstrap","Dream",42.5,16.7,187,3350,"female","2008",709.75,3.35,-0.989580999561285,"Small Penguinz"
"299",310,"Chinstrap","Dream",51,18.8,203,4100,"male","2008",958.8,4.1,0.148260401909475,"Big Penguinz"
"300",311,"Chinstrap","Dream",49.7,18.6,195,3600,"male","2008",924.42,3.6,-0.420660298825905,"Small Penguinz"
"301",312,"Chinstrap","Dream",47.5,16.8,199,3900,"female","2008",798,3.9,-0.136199948458215,"Small Penguinz"
"302",313,"Chinstrap","Dream",47.6,18.3,195,3850,"female","2008",871.08,3.85,-0.420660298825905,"Small Penguinz"
"303",314,"Chinstrap","Dream",52,20.7,210,4800,"male","2008",1076.4,4.8,0.646066015052933,"Big Penguinz"
"304",315,"Chinstrap","Dream",46.9,16.6,192,2700,"female","2008",778.54,2.7,-0.634005561601673,"Small Penguinz"
"305",316,"Chinstrap","Dream",53.5,19.9,205,4500,"male","2008",1064.65,4.5,0.29049057709332,"Big Penguinz"
"306",317,"Chinstrap","Dream",49,19.5,210,3950,"male","2008",955.5,3.95,0.646066015052933,"Big Penguinz"
"307",318,"Chinstrap","Dream",46.2,17.5,187,3650,"female","2008",808.5,3.65,-0.989580999561285,"Small Penguinz"
"308",319,"Chinstrap","Dream",50.9,19.1,196,3550,"male","2008",972.19,3.55,-0.349545211233983,"Small Penguinz"
"309",320,"Chinstrap","Dream",45.5,17,196,3500,"female","2008",773.5,3.5,-0.349545211233983,"Small Penguinz"
"310",321,"Chinstrap","Dream",50.9,17.9,196,3675,"female","2009",911.11,3.675,-0.349545211233983,"Small Penguinz"
"311",322,"Chinstrap","Dream",50.8,18.5,201,4450,"male","2009",939.8,4.45,0.00603022672563002,"Big Penguinz"
"312",323,"Chinstrap","Dream",50.1,17.9,190,3400,"female","2009",896.79,3.4,-0.776235736785517,"Small Penguinz"
"313",324,"Chinstrap","Dream",49,19.6,212,4300,"male","2009",960.4,4.3,0.788296190236778,"Big Penguinz"
"314",325,"Chinstrap","Dream",51.5,18.7,187,3250,"male","2009",963.05,3.25,-0.989580999561285,"Small Penguinz"
"315",326,"Chinstrap","Dream",49.8,17.3,198,3675,"female","2009",861.54,3.675,-0.207315036050138,"Small Penguinz"
"316",327,"Chinstrap","Dream",48.1,16.4,199,3325,"female","2009",788.84,3.325,-0.136199948458215,"Small Penguinz"
"317",328,"Chinstrap","Dream",51.4,19,201,3950,"male","2009",976.6,3.95,0.00603022672563002,"Big Penguinz"
"318",329,"Chinstrap","Dream",45.7,17.3,193,3600,"female","2009",790.61,3.6,-0.56289047400975,"Small Penguinz"
"319",330,"Chinstrap","Dream",50.7,19.7,203,4050,"male","2009",998.79,4.05,0.148260401909475,"Big Penguinz"
"320",331,"Chinstrap","Dream",42.5,17.3,187,3350,"female","2009",735.25,3.35,-0.989580999561285,"Small Penguinz"
"321",332,"Chinstrap","Dream",52.2,18.8,197,3450,"male","2009",981.36,3.45,-0.27843012364206,"Small Penguinz"
"322",333,"Chinstrap","Dream",45.2,16.6,191,3250,"female","2009",750.32,3.25,-0.705120649193595,"Small Penguinz"
"323",334,"Chinstrap","Dream",49.3,19.9,203,4050,"male","2009",981.07,4.05,0.148260401909475,"Big Penguinz"
"324",335,"Chinstrap","Dream",50.2,18.8,202,3800,"male","2009",943.76,3.8,0.0771453143175525,"Big Penguinz"
"325",336,"Chinstrap","Dream",45.6,19.4,194,3525,"female","2009",884.64,3.525,-0.491775386417828,"Small Penguinz"
"326",337,"Chinstrap","Dream",51.9,19.5,206,3950,"male","2009",1012.05,3.95,0.361605664685243,"Big Penguinz"
"327",338,"Chinstrap","Dream",46.8,16.5,189,3650,"female","2009",772.2,3.65,-0.84735082437744,"Small Penguinz"
"328",339,"Chinstrap","Dream",45.7,17,195,3650,"female","2009",776.9,3.65,-0.420660298825905,"Small Penguinz"
"329",340,"Chinstrap","Dream",55.8,19.8,207,4000,"male","2009",1104.84,4,0.432720752277165,"Big Penguinz"
"330",341,"Chinstrap","Dream",43.5,18.1,202,3400,"female","2009",787.35,3.4,0.0771453143175525,"Big Penguinz"
"331",342,"Chinstrap","Dream",49.6,18.2,193,3775,"male","2009",902.72,3.775,-0.56289047400975,"Small Penguinz"
"332",343,"Chinstrap","Dream",50.8,19,210,4100,"male","2009",965.2,4.1,0.646066015052933,"Big Penguinz"
"333",344,"Chinstrap","Dream",50.2,18.7,198,3775,"female","2009",938.74,3.775,-0.207315036050138,"Small Penguinz"
